,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,1991-04-12,20.0,23.5,20.0,22.75,12.973285675048828,482100,,,,,,,,
1,1991-04-15,23.125,26.125,23.125,26.0,14.826621055603027,392800,,,22.75,3.25,0.1428571428571428,482100.0,-89300.0,-0.18523127981746523
2,1991-04-16,26.0,26.375,25.0,25.125,14.327642440795898,384300,,,26.0,-0.875,-0.033653846153846145,392800.0,-8500.0,-0.021639511201629325
3,1991-04-17,25.5,26.25,25.5,25.75,14.684054374694824,205400,,,25.125,0.625,0.02487562189054726,384300.0,-178900.0,-0.4655217278168098
4,1991-04-18,25.75,27.375,25.75,26.625,15.183029174804688,214000,,,25.75,0.875,0.03398058252427183,205400.0,8600.0,0.04186952288218104
5,1991-04-19,26.625,26.875,26.125,26.5,15.111741065979004,138300,,,26.625,-0.125,-0.0046948356807511304,214000.0,-75700.0,-0.35373831775700937
6,1991-04-22,26.5,26.5,25.875,25.875,14.755338668823242,55100,,,26.5,-0.625,-0.02358490566037741,138300.0,-83200.0,-0.601590744757773
7,1991-04-23,25.875,26.125,25.25,25.75,14.684054374694824,123500,,,25.875,-0.125,-0.004830917874396157,55100.0,68400.0,1.2413793103448274
8,1991-04-24,25.75,26.0,25.0,25.75,14.684054374694824,65000,,,25.75,0.0,0.0,123500.0,-58500.0,-0.4736842105263158
9,1991-04-25,25.625,25.625,25.25,25.25,14.398920059204102,99700,,,25.75,-0.5,-0.01941747572815533,65000.0,34700.0,0.5338461538461539
10,1991-04-26,25.25,25.5,24.5,24.75,14.11380386352539,88600,,,25.25,-0.5,-0.01980198019801982,99700.0,-11100.0,-0.11133400200601806
11,1991-04-29,24.75,24.75,22.875,22.875,13.044580459594728,78100,,,24.75,-1.875,-0.0757575757575758,88600.0,-10500.0,-0.11851015801354403
12,1991-04-30,22.875,23.125,22.625,23.0,13.115852355957031,106200,,,22.875,0.125,0.005464480874316946,78100.0,28100.0,0.3597951344430217
13,1991-05-01,23.0,25.25,23.0,25.25,14.398920059204102,89300,,,23.0,2.25,0.09782608695652173,106200.0,-16900.0,-0.1591337099811676
14,1991-05-02,25.25,25.375,24.0,24.0,13.68610954284668,57500,,,25.25,-1.25,-0.04950495049504955,89300.0,-31800.0,-0.35610302351623735
15,1991-05-03,24.0,24.25,23.25,24.25,13.828675270080566,77200,,,24.0,0.25,0.01041666666666674,57500.0,19700.0,0.3426086956521739
16,1991-05-06,24.125,24.125,23.625,24.125,13.7573881149292,35800,,,24.25,-0.125,-0.005154639175257714,77200.0,-41400.0,-0.5362694300518135
17,1991-05-07,23.5,24.0,22.375,22.375,12.759432792663574,466500,,,24.125,-1.75,-0.07253886010362698,35800.0,430700.0,12.03072625698324
18,1991-05-08,22.375,23.875,22.125,23.875,13.614821434020996,315900,,,22.375,1.5,0.06703910614525133,466500.0,-150600.0,-0.32282958199356915
19,1991-05-09,24.125,25.125,24.125,24.875,14.185080528259276,324500,,,23.875,1.0,0.041884816753926746,315900.0,8600.0,0.027223805001582724
20,1991-05-10,24.875,25.875,24.875,25.25,14.398920059204102,536400,,,24.875,0.375,0.015075376884422065,324500.0,211900.0,0.6530046224961479
21,1991-05-13,25.25,25.75,25.125,25.75,14.684054374694824,172600,,,25.25,0.5,0.01980198019801982,536400.0,-363800.0,-0.6782252050708426
22,1991-05-14,25.75,25.75,25.0,25.0,14.256362915039062,337400,,,25.75,-0.75,-0.029126213592232997,172600.0,164800.0,0.9548088064889919
23,1991-05-15,25.0,25.125,25.0,25.0,14.256362915039062,545900,,,25.0,0.0,0.0,337400.0,208500.0,0.6179608772969769
24,1991-05-16,25.125,25.25,25.0,25.0,14.256362915039062,128100,,,25.0,0.0,0.0,545900.0,-417800.0,-0.7653416376625756
25,1991-05-17,25.0,25.125,25.0,25.0,14.256362915039062,232600,,,25.0,0.0,0.0,128100.0,104500.0,0.8157689305230289
26,1991-05-20,25.0,25.125,25.0,25.0,14.256362915039062,208600,,,25.0,0.0,0.0,232600.0,-24000.0,-0.10318142734307822
27,1991-05-21,25.0,25.125,25.0,25.0,14.256362915039062,297700,,,25.0,0.0,0.0,208600.0,89100.0,0.4271332694151486
